topic,GPT-4o_P1_Agreeableness,GPT-4o_P2_Agreeableness,GPT-4o_P1_Openness,GPT-4o_P2_Openness,GPT-4o_P1_Conscientiousness,GPT-4o_P2_Conscientiousness,GPT-4o_P1_Extraversion,GPT-4o_P2_Extraversion,GPT-4o_P1_Neuroticism,GPT-4o_P2_Neuroticism,LLaMA3.2_P1_Agreeableness,LLaMA3.2_P2_Agreeableness,LLaMA3.2_P1_Openness,LLaMA3.2_P2_Openness,LLaMA3.2_P1_Conscientiousness,LLaMA3.2_P2_Conscientiousness,LLaMA3.2_P1_Extraversion,LLaMA3.2_P2_Extraversion,LLaMA3.2_P1_Neuroticism,LLaMA3.2_P2_Neuroticism,LLaMA3.3_P1_Agreeableness,LLaMA3.3_P2_Agreeableness,LLaMA3.3_P1_Openness,LLaMA3.3_P2_Openness,LLaMA3.3_P1_Conscientiousness,LLaMA3.3_P2_Conscientiousness,LLaMA3.3_P1_Extraversion,LLaMA3.3_P2_Extraversion,LLaMA3.3_P1_Neuroticism,LLaMA3.3_P2_Neuroticism,Qwen_P1_Agreeableness,Qwen_P2_Agreeableness,Qwen_P1_Openness,Qwen_P2_Openness,Qwen_P1_Conscientiousness,Qwen_P2_Conscientiousness,Qwen_P1_Extraversion,Qwen_P2_Extraversion,Qwen_P1_Neuroticism,Qwen_P2_Neuroticism,DeepSeek_P1_Agreeableness,DeepSeek_P2_Agreeableness,DeepSeek_P1_Openness,DeepSeek_P2_Openness,DeepSeek_P1_Conscientiousness,DeepSeek_P2_Conscientiousness,DeepSeek_P1_Extraversion,DeepSeek_P2_Extraversion,DeepSeek_P1_Neuroticism,DeepSeek_P2_Neuroticism
Is universal basic income a solution to automation?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Is free speech under threat in the digital age?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Should billionaire wealth be capped?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Should education be completely free worldwide?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Are electric cars truly sustainable?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Are social media influencers ruining modern culture?,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,Low,Low,High,High,High,High,High,High,High,Low,Low,Low,High
Should artificial intelligence have human-like rights?,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,Low,High,High,High,Low,Low,Low,Low,High,High,Low,High,High,High,Low,Low,Low,Low
Is online privacy a myth in the modern world?,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High,High,High,Low,Low,High,High,High,High,High,High,High,High,Low,Low,High,High
Is climate change an immediate global crisis?,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low,High,High,High,High,High,High,Low,Low,Low,Low
Should governments control social media platforms?,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low,High,High,High,High,High,High,Low,Low,High,Low
